name,phone,address,website,rating,user_ratings_total
"YEK EMLAK & GAYRİMENKUL","0546 737 37 27","no: 16/ A, Mimar Sinan, Nizip","","",""
"Akcakoca Emlak","(0342) 517 51 18","İstasyon, Hastane Cad. 6/A, Nizip","",5,1
"Karani Emlak","0541 693 87 29","Mevlana, Nizip","",5,1
"Bahçeci Emlak","","Mevlana, Nizip","",3.4,5
"SELAMİ EMLAK NİZİP","0533 736 82 02","Fırat, Kubilay Cd. 60/B, Nizip","",3.7,3
"Uygur Gayrimenkul&İnşaat","0532 680 09 43","Fevzi Paşa, Dişçi Sk., Nizip","https://uygurgayrimenkul.sahibinden.com/",3.7,3
"Belkıs Emlak Gayrimenkul","0534 694 57 92","Atatürk, Soylu Sk. No:22, Nizip","",5,1
"UYGAR EMLAK","(0342) 230 11 14","Şıhlar, İzzet Efendi Cd. 19 A, Nizip","https://uygaremlak.sahibinden.com/",3,2
"KUZEY EMLAK","0541 389 27 29","Mimar Sinan, Bayraktar Sk. No:2, Nizip","","",""
"Emin Emlak","","Fatih Sultan, Habeş Efendi Cd., Nizip","",5,1
"Karakus Emlak","(0342) 518 37 47","Namık Kemal, Fatih Sultan Bulv. 84/B, Nizip","",3.7,3
"ÖZMELKE EMLAK","","Eyüp Sultan, Nizip","https://ozmelkeemlak.sahibinden.com/",5,2
"Çakır Gayrımenkul","0551 597 27 33","Mimar Sinan, şehit Emre bakırcı sokak no:2/A, Nizip","","",""
"Doğuş İnşaat & Gayrimenkul","0544 358 30 04","Fatih Sultan, Habeş Efendi Cd. no:15/A, Nizip","",5,7
"Kahraman Emlak ve İnşaat","0544 644 27 96","Eyüp Sultan, Saraybosna Sk. no:19, Nizip","","",""
"MELKE EMLAK","","Fatih Sultan, Şimşek Sk, Nizip","https://melkeemlak.sahibinden.com/",3.5,6
"Pakçiloğlu İnşaat","","Sultan Abdülhamit, Mustafa Kökmen Bulvari no 128/A, Nizip","",4.7,19
"Global Emlak","0505 815 72 58","Belkıs, Eski Kartamış Cad. No:10/B, Nizip","https://globalemlakgaziantep.sahibinden.com/",2.5,2
"Hakan Emlak - Otomotiv","","Fevkani, Gaziantep Cd. No:39, Nizip","",5,1
"Bariş Emlak & Otomotiv","","Mimar Sinan, İmam Hatip Cd., Nizip","",5,1
"Halk Emlak Ofisi","","Fatih Sultan, Nizip","","",""
"3M GAYRİMENKUL & AUTO","0544 481 20 81","Mimarsinan mahallesi, Mustafa Kökmen Bulvari No:3, Nizip","","",""
"baki gayrimenkul danışmanlığı","0530 341 60 27","Atatürk, Prof. Cahit Tanyol Cd. No:102, Nizip","",4.3,6
"ARTAR YAPI İNŞAAT VE MÜTEAHHİTLİK","0541 490 24 25","Atatürk, Orhan Gazi Sk. No:26, Uzunköprü","","",""
"ÖZER EMLAK","0542 807 40 12","Atatürk, Çavuşlar Sk., Nizip","","",""
"Pamuk Autove Gayrimenkul","","Atatürk, Vatan Cd., Nizip","",4,1
"Ulu Inşaat Gayrimenkul","","Mevlana, Nizip","",1,1
"Bayindirli Emlak Bürosu","","Namık Kemal, Nizip","","",""
"MSNNE TİCARET","","Karayusuflu, Şehitkamil","",5,1
"BARIŞ EMLAK","0542 227 05 24","çarşı27 iş merkezi 3/BBarış Emlak, Karataş, 103404 Nolu Cad., Şahinbey","https://barisemlakgayrimenkul.sahibinden.com/",5,14
"KA-YI EMLAK","(0342) 360 05 60","Güneykent, 216. Cd. 66/A, Şahinbey","",4.5,8
"POLATBEYLER GAYRIMENKUL","(0342) 360 33 66","a, Yeditepe, 83009. Sokak, Şahinbey","https://tr-tr.facebook.com/Polat-Beyler-Emlak-1566730510270427/",5,15
"Bezek Emlak","0532 560 72 51","Akkent Mahallesi Şehit Binbaşı Arslan Kulaksız Bulvarı Oska Gül Sitesi A-Blok Altı, Şahinbey","https://bezekemlak.sahibinden.com/",4.9,8
"AK EVİM GAYRİMENKUL & İNŞAAT KURUMSAL EMLAK DANIŞMANLIĞI","0535 284 65 01","AKKENT MAH. 134012 NOLU CAD. HASKENT 1 SİTESİ ALTI C BLOK NO:47, Şahinbey","https://akevimgayrimenkul.sahibinden.com/",5,11
"AKTİF İNŞAAT&GAYRİMENKUL","0544 657 27 27","7 Tepe Mahallesi, 85109 Nolu Sokak Yıldız Evler No:18/a B-Blok-6, Şahinbey","https://aktifgayrimenkulgaziantep.sahibinden.com/",4.9,66
"Balaban Emlak","","Karataş, 400. Cd. 54 F, Şahinbey","",5,2
"Y A Doğanpinar Emlak","","Akkent, Şahinbey","",5,1
"BİRELLİ EMLAK FİRMASI","0552 603 27 27","Akkent, 400. Cd., Şahinbey","https://birelliemlak.sahibinden.com/",4.8,28
"Asti Emlak Ltd.Şti","0531 881 25 25","Akkent Mah. Cad. No:400 No:63/B Park Teraz Evler No:13, Şahinbey","",5,8
"Fıstık Emlak Gyo","0532 779 47 74","Şahintepe, Şahinbey","",3,2
"Ataşehir Emlak Evi","(0342) 360 42 55","Bülbülzade Mahallesi 10. Cadde Su Yolu, Demirkıran Apt 146/27, Şahinbey","http://www.atasehiremlakevi.com/",4.3,17
"Bahçelievler Emlak","","Akkent, Şahinbey","",5,2
"ÖZBAĞLARBAŞI EMLAK","","Bağlarbaşı, X9QC+9C, Şahinbey","",5,1
"Ecem Emlak","(0342) 360 44 60","Bülbülzade, 136003 Nolu sokakNo13 A/A, Şahinbey","https://ecememlak.com.tr/",5,1
"MARKA-27 Gayrimenkul","0554 861 37 27","BERRA Apt. Altı Alpet petrol, Karataş Mahallesi Şehit Binbaşı Arslan Kulaksız Caddesi, Akkent parkı arası No:46/E, Şahinbey","",5,2
"OBİ DANIŞMANLIK GAYRİMENKUL","0530 861 25 27","Karataş, Şht. Binbaşı Arslan Kulaksız Blv 50/A, Şahinbey","http://obidanismanlik.sahibinden.com/",5,53
"ARSLANOĞLU GAYRİMENKUL","","Güneykent, 102260. Sk. 3/b, Şahinbey","",4.4,9
"Musabeyli Emlak","(0342) 339 12 20","Akkent Mahallesi 134012 Nolu Cadde No:30A/E MUSABEYLİ EMLAK AKKENT BALIK EVİ KARŞISI, Şahinbey","",4,4
"Profesyonel Emlak","","Yeditepe, Şahinbey","",5,1
"İnci Emlak","0533 689 48 02","Akkent, 134012. Cd. 9 b, Şahinbey","",5,1
"CVK Gayrimenkul İnşaat","0542 327 59 07","Bülbülzade mah. 136111 Nolu Cad. Eyüp Zengin Apt, No:4 B, Şahinbey","",5,3
"Nd 27 Emlak","0507 444 00 27","Bülbülzade, Su Yolu Cd. No:114 D:L, Şahinbey","https://nd27emlak.sahibinden.com/",3.2,10
"AK EMLAK GAYRİMENKUL","0534 541 26 50","Akkent, 134002 NOLU SOKAK OSKA GÜL SİTESİ ALTI NO 76, Şahinbey","https://www.akgayrimenkul.com/",5,1
"Göçmen Emlak","","Akkent, 134012. Cd., Şahinbey","",5,2
"winmax gayrimenkul","0551 723 51 85","Yeditepe Mah.216, Nolu Cd 31/a, Şahinbey","https://winmaxgayrimenkulgaziantep.sahibinden.com/",3.8,16
"EKOL GAYRİMENKUL","0532 360 99 27","ekol gayrimenkul, Bülbülzade, 13036 nolu cad Tabaroğlu apt altı no 58/d, Şahinbey","",4.9,41
"Avrasya Emlak","(0342) 371 20 02","Karataş, 103398. Sokak 398. Cd, Şahinbey","http://www.avrasyaemlak.com/",5,4
"İmza Gayrimenkul","0543 770 90 21","Bülbülzade Mahallesi 10 Nolu Cadde , No 142 , Çınarlı Konutları B Blok Altı, Şahinbey","",4.5,27
"MUSTAFA BEY GAYRİMENKUL","0505 155 02 10","Karataş, 103424. Cd. 9 C, Şahinbey","https://mustafabeygayrimenkul.sahibinden.com/",4.4,7
