name,phone,address,website,rating,user_ratings_total
"Bariş Emlak & Otomotiv","","Kale, Diyarbakır Cd., Silvan","","",""
"Karakış Gayrimenkul & Emlak ofisi","0531 828 48 20","Çukur, Eski Siverek Cd. No:39, Çermik","https://cermikkarakisemlak.wixsite.com/my-site",5,49
"Çınar emlak ofisi","0543 963 11 21","Gazi, 19 Mayıs CAD no 102, Çınar","",5,9
"Baweremlak","0542 100 47 21","Gazi, 19 Mayıs caddesi belediye dükkanları no:38/H, Çınar","","",""
"Çınar emlak gayrimenkul","","Yeni, Ondokuz Mayıs Cd. No:96, Çınar","","",""
"Aktepe Emlak","","Yeni maha, 19 mayıs caddesi, Çınar","","",""
"Deği̇şi̇m Emlak","","Gazi, Ondokuz Mayıs Cd. No:102, Çınar","","",""
"Rêber Emlak","","Cumhuriyet, Atatürk Blv., Çınar","","",""
"Mir Emlak Gayrimenkul","","Fatih, Fener Sk., Çınar","","",""
"ÇAKIL OTOMOTİV","0533 137 69 23","Yeni, Turgut Reis Sk., Çınar","https://instagram.com/cakil.auto.emlak21?igshid=NjIwNzIyMDk2Mg==",5,4
"Burçin ARAL EMLAK OFİSİ","0533 137 67 91","Merkez, Nergiz 3. Sk., Hani","",5,25
"Doğan İnşaat Emlak ve Arsa Ofisi","","Yalçın1 inş, Turgut Özal, Diyarbakır Cd. Kat 1, Kulp","",5,3
"Zaman Danışmanlık","0539 707 07 43","Turgut Özal, Diyarbakır Cd. No:57, Kulp","https://www.instagram.com/zamandanismanlik/","",""
"Atabey emlak gayrimenkul danismanlik","","Merkez Yeni, Diyarbakır Cd., Kulp","","",""
